"GENE_ACCESSION_ID","GENE_SYMBOL","MOUSE_STRAIN","MOUSE_LIFE_STAGE","PARAMETER_ID","PVALUE","PARAMETER_NAME","ANALYSIS_ID"
"MGI:1913883","Nsa2","C57BL","E15.5","IMPC_HEM_001_001",0.6246616,"White blood cell count","3bw9t02xqa25285"
"MGI:2686600","Zfp174","C57BL","Late adult","IMPC_ACS_006_001",0.498966,"Response amplitude - S","3c029t7yeit8i8m"
"MGI:2384982","Cdca7l","C57BL","Late adult","IMPC_CBC_009_001",NA,"Calcium","3c0ostjpjvg436w"
"MGI:3643534","Angptl8","C57BL","Early adult","IMPC_CAL_008_001",0.6440834,"Total food intake","3c1797j61npr0s7"
"MGI:97491","Pax7","C57BL","Early adult","IMPC_HEM_027_001",0.1311377,"Red blood cell distribution width","3c1fw028x141n35"
"MGI:97491","Pax7","C57BL","Early adult","GMC_920_001_014",0.9571968,"sMV-active","3c1mu26z4d90611"
"MGI:1931415","Mynn","C57BL","Early adult","IMPC_CBC_004_001",0.1844314,"Urea (Blood Urea Nitrogen - BUN)","3c23e18nfi88235"
"MGI:1914969","2310057J18Rik","C57BL","Early adult","IMPC_DXA_005_001",0.5720396,"Bone Mineral Content (excluding skull)","3c31o03h16k24ax"
"MGI:2139134","Cercam","C57BL","Early adult","IMPC_IMM_011_001",0.952193,"CD4 NKT cells","3c3mb7z0074uon7"
"MGI:1915987","Angel1","C57BL","Early adult","IMPC_IMM_024_001",0.1122905,"DN CD25+ NKT cells","3c80l3x6f056sp1"
"MGI:1914759","Saysd1",NA,"Early adult","IMPC_DXA_009_001",0.08166821,"Fat/Body weight","3c91wnl1k555ft0"
"MGI:97491","Pax7","C57BL","Early adult","JAXLA_DXA_007_001",0.8353027,"BMC/Body weight","3c989v362qp8bim"
"MGI:1916340","Ascc1","C57BL","E18.5","IMPC_CSD_006_001",0.3075794,"Coat - color - head","3c9bs527ko1yg59"
"MGI:96669","Kcnc3","C57BL","Early adult","JAX_URI_001_001",0.6899188,"microAlbumin (calculated)","3c9jla5t1e7w779"
"MGI:892866","Dgcr2","C57BL","Early adult","JAX_OFD_010_001",0.558339,"Periphery distance travelled","3caw95m03n51w4s"
"MGI:97489","Pax5","C57BL","Early adult","JAX_URI_005_001",0.7968141,"Glucose","3cbs58w224r9ubp"
"MGI:108398","Mlx","C57BL","Early adult","JAXLA_CBC_018_001",0.9419593,"Glucose","3cc6kve0cggkeqt"
"MGI:1914267","Fam210b","C57BL","Early adult","IMPC_HEM_001_001",0.9362815,"White blood cell count","3cfe8lfh6lu787s"
"MGI:1922184","Odad2","C57BL","Early adult","GMC_914_001_003",0.1038702,"Food consumption","3cihat86390330d"
"MGI:1920393","Wdr37","C57BL","Early adult","JAXLA_DXA_006_001",0.7022082,"Body length","3cisj939tz4v0b9"
"MGI:108398","Mlx","C57BL","Late adult","CCP_XRY_060_001",0.294785,"Transitional vertebrae","3ck1p8a5d6t8l2g"
"MGI:1916315","Chac1","C57BL","Early adult","CCP_XRY_062_001",0.2353289,"Polysyndactylism","3cp369r2s359ws3"
"MGI:1915756","Ctnnbip1","C57BL","E15.5","IMPC_XRY_057_001",0.7670694,"Kyphosis","3cpw9ioy652b9pb"
"MGI:1338893","Padi1","C57BL","Early adult","JAXLA_CBC_018_001",0.4919661,"Glucose","3cqhq12909o78d6"
"MGI:1916340","Ascc1","C57BL","Early adult","IMPC_HWT_008_001",0.4510442,"Heart weight","3ct48xb11n3fk0g"
"MGI:104294","Tyro3","C57BL","Early adult","GMC_905_001_012",0.366452,"Absolute number of monocytes","3cz34y2e5u0sua7"
"MGI:2445160","Kcnh8","C57BL","Early adult","IMPC_HEM_008_001",0.8960046,"Platelet count","3cz59t3a3j1216l"
"MGI:1351872","Slco2b1","C57BL","Early adult","IMPC_HEM_007_001",0.3905908,"Mean cell hemoglobin concentration","3cz93f2x519z60z"
"MGI:2143698","Vezt","C57BL","Early adult","JAX_OFD_014_001",0.876502,"Center distance travelled","3d011600sfrkruo"
"MGI:2442221","Zfp652","C57BL","E18.5","IMPC_HEM_006_001",0.9379612,"Mean corpuscular hemoglobin","3d06061n20lso4e"
"MGI:2444785","Dcaf5","C57BL","early adult","IMPC_HEM_002_001",0.5371363,"Red blood cell count","3d0nmw9g813705k"
"MGI:1916340","Ascc1","C57BL","Early adult","IMPC_CBC_011_001",0.808064,"Iron","3d0yt3m8415lo4a"
"MGI:1920703","1700067K01Rik","C57BL","Early adult","GMC_920_001_011",0.1197576,"MIF-active","3d12qn3745h1f3b"
"MGI:109186","Ncf4","C57BL","Early adult","IMPC_EYE_018_001",0.5084741,"Fusion between cornea and lens","3d1l8r4dy8982dk"
"MGI:87939","Adrb3","C57BL","Early adult","GMC_905_001_012",0.9474799,"Absolute number of monocytes","3d344ypadzkcb16"
"MGI:1859866","Cdc20","C57BL","E9.5","JAX_LDT_001_001",0.4714883,"Side changes","3d459t8442n2g73"
"MGI:2442221","Zfp652","C57BL","Early adult","IMPC_IPG_012_001",0.5626756,"Area under glucose response curve","3d4jrt33w9gr5is"
"MGI:3643383","Calhm1","C57BL","Early adult","CCP_XRY_060_001",0.9087272,"Transitional vertebrae","3d4lp087848mc56"
"MGI:1914969","2310057J18Rik","C57BL","Early adult","IMPC_HEM_008_001",0.7418686,"Platelet count","3d5884405s25o3x"
"MGI:1920393","Wdr37","C57BL","Early adult","IMPC_GEO_064_001",0.7666974,"Edema","3d5q5i0hmgmn5p8"
"MGI:106642","Baat","C57BL","Early adult","GMC_920_001_035",0.9682052,"Ti/TT-sleep","3d610a914msxeqz"
"MGI:2442978","Ogfod1","129SV","Early adult","GMC_921_001_002",0.9446364,"Body weight","3d665ni30957i2j"
"MGI:2141101","Depdc5","C57BL","Early adult","UCDLA_CBC_015_001",0.7247929,"Total cholesterol","3d68w3c2ud0wrct"
"MGI:2442978","Ogfod1","129SV","Early adult","IMPC_CSD_078_001",0.6705668,"Vocalization","3d6a408h2f89z3e"
"MGI:104294","Tyro3","C57BL","Early adult","IMPC_CBC_015_001",0.6445335,"Total cholesterol","3d6xw798uw384z8"
"MGI:2442978","Ogfod1","129SV","Early adult","IMPC_GRS_008_001",0.8230101,"Forelimb grip strength measurement mean","3d723w729773ggx"
"MGI:2685018","Ccdc110","C57BL","Early adult","IMPC_CBC_015_001",0.8091874,"Total cholesterol","3d86n890ui1lj2i"
"MGI:95321","Emb","C57BL","Early adult","IMPC_CSD_007_001",0.7594166,"Coat - color - abdomen","3d89r8578177wf3"
"MGI:1917933","Utp20","C57BL","E9.5","GMC_914_001_004",0.05768593,"Feces production","3df94kti826183r"
"MGI:2139134","Cercam","C57BL","Early adult","ESLIM_016_001_005",0.1670533,"Mean cell volume","3dfo1859k7r7y62"
"MGI:2385852","Tifab","C57BL","early adult","GMC_906_001_017",0.5177087,"Total cholesterol","3dh94d07li103ta"
"MGI:108278","Ube2m","C57BL","E9.5","GMC_905_001_010",0.9019364,"Mean platelets volume","3dnq3k8e29dp33i"
"MGI:2685097","Lrrc37a","C57BL","Early adult","CCP_XRY_031_001",0.9575631,"Digit integrity","3dq6s606mi5q310"
"MGI:3643534","Angptl8","C57BL","Early adult","IMPC_XRY_057_001",0.2299424,"Kyphosis","3dq8919jdojfdxs"
"MGI:2137624","Pom121","C57BL","E9.5","IMPC_XRY_012_001",0.6549024,"Pelvis","3dr0u6178x73mgg"
"MGI:2684917","Vcpkmt","C57BL","Early adult","GMC_906_001_006",0.9349359,"Chloride","3drq932k5ml3613"
"MGI:88357","Cdk4","C57BL","E15.5","IMPC_EYE_019_001",0.9403033,"Synechia","3ds9rzf8v4nh716"
"MGI:2137624","Pom121","C57BL","Early adult","CCP_LDT_006_001",0.7685811,"Latency to first transition into light","3dtmx4o774v65v3"
"MGI:2443497","Zmat4","C57BL","Early adult","HRWL_OWT_001_001",0.9465307,"Spleen weight","3dtxl9766410982"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","IMPC_CSD_032_001",0.5604057,"Locomotor activity","3dvgj2o889c546l"
"MGI:2443497","Zmat4","C57BL","Early adult","IMPC_IPG_011_001",0.4516331,"Initial response to glucose challenge","3dyr45wzf2gp6jn"
"MGI:88357","Cdk4","C57BL","Early adult","IMPC_HEM_008_001",0.392619,"Platelet count","3dz1st85616upy6"
"MGI:1916319","Tmem273","C57BL","Early adult","GMC_905_001_010",0.3689985,"Mean platelets volume","3e0ohl60844yxw5"
"MGI:1918830","Mtrf1l","129SV","Early adult","IMPC_CBC_001_001",0.2828793,"Sodium","3e25f6hr657v099"
"MGI:1920703","1700067K01Rik","C57BL","Early adult","JAXLA_CBC_018_001",0.6976455,"Glucose","3e4b31475mx9285"
"MGI:1347061","Abcg2","C57BL","Early adult","CCP_XRY_018_001",0.1700141,"Shape of vertebrae","3e617ddf8d250xe"
"MGI:105959","Cox8a","C57BL","Early adult","JAXLA_IPG_010_001",0.5102664,"Fasted blood glucose concentration","3e722lm7k036x71"
"MGI:1917933","Utp20","C57BL","E9.5","IMPC_XRY_057_001",0.4422387,"Kyphosis","3e7rv6s5196jo11"
"MGI:106642","Baat","C57BL","Early adult","IMPC_IPG_012_001",0.6540163,"Area under glucose response curve","3e7w05504db3186"
"MGI:1890257","Tas2r103","C57BL","Early adult","IMPC_GEP_029_002",0.0700038,"Cyanosis","3e7x32856e804r4"
"MGI:2384919","Rxylt1","C57BL","Early adult","IMPC_EYE_063_001",0.7476373,"Right inner nuclear layer","3e84vc0g551641q"
"MGI:2445160","Kcnh8","C57BL","Middle aged adult","IMPC_OFD_010_001",0.05156613,"Periphery distance travelled","3e891w265y32q20"
"MGI:108398","Mlx","C57BL","Early adult","GMC_906_001_006",0.9982284,"Chloride","3e91b84sx2d8vm8"
"MGI:5546359","Xndc1","C57BL","Early adult","JAXLA_CSD_077_001",0.8967096,"Contact righting","3e92m75k46kc6t4"
"MGI:892866","Dgcr2","C57BL","Early adult","IMPC_ABR_004_001",NA,"6kHz-evoked ABR Threshold","3e9o7z9lh6z0puo"
"MGI:1918830","Mtrf1l","C57BL","Early adult","IMPC_DXA_002_001",0.09330374,"Fat mass","3eg4at9k8o751m6"
"MGI:2141101","Depdc5","C57BL","E15.5","GMC_906_001_005",0.8721538,"Potassium","3eja402vcter819"
"MGI:2384982","Cdca7l","C57BL","Late adult","HRWL_OWT_001_001",0.07718453,"Spleen weight","3eq320p6qs3cd61"
"MGI:2384919","Rxylt1","C57BL","Late adult","IMPC_CSD_007_001",0.1536133,"Coat - color - abdomen","3ett5k656tg8knj"
"MGI:1915485","Mturn","C57BL",NA,"IMPC_GRS_010_001",0.8899566,"Forelimb grip strength normalised against body weight","3eut13n7qs943ed"
"MGI:1931415","Mynn","C57BL","Early adult","IMPC_CSD_039_001",0.8487278,"Limb grasp","3exqc4577fjm9n6"
"MGI:108278","Ube2m","C57BL","E9.5","JAXLA_CSD_012_001",0.7920498,"Coat - hair distribution - head","3ezk1d171f3oiyn"
"MGI:2180565","Pnma3","C57BL","Early adult","IMPC_CSD_008_001",0.1511775,"Coat - color pattern - back","3f01mnx199g7058"
"MGI:1913883","Nsa2","C57BL","Early adult","IMPC_HEM_039_001",0.276977,"Large Unstained Cell (LUC) count","3f0fw28r19zqvw4"
"MGI:1913883","Nsa2","C57BL","Early adult","IMPC_CBC_023_001",0.6883123,"Alpha-amylase","3f16797cz05ws6u"
"MGI:1933831","Btbd2","C57BL","Early adult","IMPC_EYE_070_001",0.9127987,"Left outer nuclear layer","3f24bxqiv8l5s11"
"MGI:1932386","Ift122","C57BL","Early adult","IMPC_CBC_012_001",0.9805735,"Aspartate aminotransferase","3f3a6f2xx35422o"
"MGI:1917933","Utp20","C57BL","early adult","IMPC_EYE_063_001",0.4215601,"Right inner nuclear layer","3f44128205e44m5"
"MGI:2684917","Vcpkmt","C57BL","Early adult","GMC_920_001_014",0.4373935,"sMV-active","3f46x174k1kl87a"
"MGI:108398","Mlx","C57BL","Middle aged adult","IMPC_DXA_009_001",0.9682193,"Fat/Body weight","3f48383d6t6b5h3"
"MGI:2443086","Mindy2",NA,"Late adult","IMPC_IMM_021_001",0.2797215,"CD4 CD25- NKT cells","3f5nx9nip97065m"
"MGI:96538","Il10ra","C57BL","Early adult","CCP_LFO_007_001",0.5958605,"Hqp","3f6kf563189izb2"
"MGI:2684917","Vcpkmt","C57BL","Early adult","ESLIM_015_001_002",0.6948586,"Urea","3f710o630rl745o"
"MGI:3588207","Dnaaf3","C57BL","Early adult","IMPC_CSD_008_001",0.8237391,"Coat - color pattern - back","3f7m42y479361g5"
"MGI:3588207","Dnaaf3","C57BL","Early adult","GMC_905_001_003",0.7052907,"Platelet","3f7x73r93l5t04e"
"MGI:2384919","Rxylt1","C57BL","E9.5","CCP_XRY_033_001",0.2064628,"Tibia length","3f89chp69oh3863"
"MGI:96538","Il10ra","C57BL","Early adult","JAXLA_OFD_021_001",0.4982742,"Number of rears - total","3f8p18j7sfy79m8"
"MGI:1913883","Nsa2","C57BL","E15.5","IMPC_GEO_069_001",0,"Delayed embryonic development","3f93j908fl2ayr3"
"MGI:2686600","Zfp174","C57BL","Early adult","IMPC_CBC_004_001",0.7224709,"Urea (Blood Urea Nitrogen - BUN)","3f998889i38q4z7"
"MGI:2143698","Vezt","C57BL","Early adult","IMPC_EYE_024_001",0.8027284,"Retinal Blood Vessels","3fd7386tt7f3135"
"MGI:104992","Crybb1","C57BL","Early adult","GMC_906_001_009",0.3910061,"Calcium","3fdtu8ytp297bm3"
"MGI:2684789","Lrsam1","C57BL","Early adult","CCP_XRY_018_001",0.4599805,"Shape of vertebrae","3fgm009s27355ea"
"MGI:892866","Dgcr2","C57BL","Early adult","IMPC_EYE_069_001",0.4789602,"Left inner nuclear layer","3fitvm40b044258"
"MGI:97491","Pax7","C57BL","Early adult","ESLIM_015_001_015",0.45489,"Alkaline phosphatase","3fk915t0r7302s0"
"MGI:97491","Pax7","C57BL","Early adult","IMPC_GEO_064_001",0.9671438,"Edema","3fm62e0n88zp460"
"MGI:2444785","Dcaf5","C57BL","Early adult","M-G-P_026_001_006",0.8477635,"Skin condition","3fmem9138rse4sx"
"MGI:3046938","Hrnr","C57BL","Early adult","GMC_906_001_004",0.6390686,"Sodium","3fq01nj20nvmc4q"
"MGI:2443086","Mindy2","C57BL","Late adult","IMPC_CBC_004_001",0.3695178,"Urea (Blood Urea Nitrogen - BUN)","3fqca6589b0097u"
"MGI:2445160","Kcnh8","C57BL","Late adult","UCDLA_CBC_015_001",0.337794,"Total cholesterol","3fyeuirw9ghcxyi"
"MGI:1918830","Mtrf1l","129SV","Early adult","IMPC_HEM_007_001",0.5279329,"Mean cell hemoglobin concentration","3fyv5r2a1t87b7f"
"MGI:2685018","Ccdc110","C57BL","Early adult","JAXLA_GRS_011_001",0.3889281,"Forelimb and hindlimb grip strength normalised against body weight","3g030qsb380vmky"
"MGI:1918359","Flacc1","C57BL","Early adult","IMPC_XRY_055_001",0.9232974,"Shape of spine","3g18ixifht27k85"
"MGI:3588207","Dnaaf3","C57BL","Early adult","IMPC_EYE_027_001",0.9944419,"Persistence of hyaloid vascular system","3g25bih3601yj3x"
"MGI:1931415","Mynn","C57BL","Early adult","M-G-P_026_001_006",0.6015517,"Skin condition","3g2g494q46go2u2"
"MGI:2143698","Vezt","C57BL","E9.5","ESLIM_020_001_003",0.2986779,"Tibia length","3g30epi5zukk502"
"MGI:1347061","Abcg2","C57BL","Early adult","IMPC_DXA_002_001",0.4809641,"Fat mass","3g46051661u9h38"
"MGI:1913883","Nsa2","C57BL","E9.5","IMPC_ABR_008_001",0.8080374,"18kHz-evoked ABR Threshold","3g4yqq7937a20ao"
"MGI:1344370","Ndufc2","C57BL","Early adult","IMPC_EYE_024_001",0.8190549,"Retinal Blood Vessels","3g507g8f56z0p30"
"MGI:3652306","Krtap4-8","C57BL","Early adult","IMPC_CBC_012_001",0.4508909,"Aspartate aminotransferase","3g7449of9wepnh4"
"MGI:106642","Baat","C57BL","Early adult","GMC_916_001_021",0.1028479,"Line crossings","3g7703w8o6kdb5f"
"MGI:3643383","Calhm1","C57BL","Early adult","IMPC_DXA_005_001",0.3367927,"Bone Mineral Content (excluding skull)","3g8x51a258q09oo"
"MGI:1321393","Timeless","C57BL","Early adult","ESLIM_009_001_703",0.2008246,"Forelimb grip strength normalised against body weight","3g98vfp5q0niar9"
"MGI:2137624","Pom121","C57BL","E9.5","IMPC_ACS_035_001",0.6579954,"% Pre-pulse inhibition - PPI3","3ga79sf13niyk27"
"MGI:3588207","Dnaaf3","C57BL","Early adult","IMPC_INS_001_001",0.513649,"Insulin","3gc8a5qg5zfb596"
"MGI:2143698","Vezt","C57BL","Early adult","JAX_OFD_021_001",9.77394e-06,"Number of rears - total","3gek7gb5s2ely4x"
"MGI:2443086","Mindy2","C57BL","Late adult","JAX_OFD_010_001",0.8437915,"Periphery distance travelled","3ger87wi2y958pk"
"MGI:1914969","2310057J18Rik","C57BL","Early adult","GMC_920_001_039",NA,"sMV-sleep","3gje2v19b0343ki"
"MGI:1351872","Slco2b1","C57BL","Early adult","GMC_914_001_004",0.5878354,"Feces production","3glp5sjeg8p0966"
"MGI:108398","Mlx","C57BL","Middle aged adult","JAXLA_CSD_036_001",0.1626499,"Startle response","3gm5ou2m9di1085"
"MGI:1914759","Saysd1","C57BL","Early adult","IMPC_CSD_007_001",0.2576125,"Coat - color - abdomen","3gmm6tz9057m85b"
"MGI:2685018","Ccdc110","C57BL","Early adult","IMPC_IPG_011_001",0.660997,"Initial response to glucose challenge","3gnyt400psb8v7d"
"MGI:2384919","Rxylt1","C57BL","E9.5","IMPC_ABR_012_001",0.9735491,"30kHz-evoked ABR Threshold","3grxqyoj13f8qp6"
"MGI:5546359","Xndc1","C57BL","Early adult","IMPC_OFD_013_001",0.7868553,"Periphery average speed","3gux060259vq3x1"
"MGI:1921004","Thap1","C57BL","E12.5","IMPC_IPG_010_001",0.5116848,"Fasted blood glucose concentration","3gw5ju8inb26p2c"
"MGI:3643534","Angptl8","C57BL","Early adult","GMC_916_001_018",0.5925959,"Rearings box","3gw99p923975598"
"MGI:3652306","Krtap4-8","C57BL","Early adult","IMPC_EYE_026_001",0.6893628,"Retinal Blood Vessels Pattern","3gwc1g2t01z4210"
"MGI:2384919","Rxylt1","C57BL","E9.5","UCDLA_CBC_015_001",0.7912735,"Total cholesterol","3gww72i9c9u5qii"
"MGI:1915987","Angel1","C57BL","Early adult","GMC_906_001_009",0.1470435,"Calcium","3gx7pocbfzp4n8r"
"MGI:1921004","Thap1","C57BL","E12.5","IMPC_OFD_021_001",0.6357377,"Number of rears - total","3gya1qv610dy28d"
"MGI:2443086","Mindy2","C57BL","Early adult","IMPC_EYE_016_001",0.9276114,"Lens","3h02v13640873xf"
"MGI:1347061","Abcg2","C57BL","Early adult","IMPC_EYE_003_001",0.807821,"Eye Hemorrhage or Blood Presence","3h0am1aq798c742"
"MGI:2141101","Depdc5","C57BL","E15.5","ESLIM_020_001_003",0.7039922,"Tibia length","3h0qk0swry07rm1"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","ESLIM_009_001_703",0.7927206,"Forelimb grip strength normalised against body weight","3h0s7db94o3r51m"
"MGI:1915485","Mturn","C57BL","Early adult","IMPC_CBC_011_001",0.6195215,"Iron","3h2elk14a4rar10"
"MGI:2384919","Rxylt1","C57BL","Early adult","IMPC_GEP_024_001",0.288347,"Body wall morphology","3h2id38kqcp1nx8"
"MGI:1914780","Uqcrb","C57BL","Early adult","IMPC_GEP_024_001",0.8020076,"Body wall morphology","3h329y62515y4uz"
"MGI:1921004","Thap1","C57BL","E12.5","ESLIM_015_001_002",0.7156002,"Urea","3h33p569679m81l"
"MGI:2443086","Mindy2","C57BL","Early adult","JAX_OFD_017_001",0.5335326,"Center average speed","3h34lt99h67580p"
"MGI:2684866","Slfn14","C57BL","Early adult","IMPC_DXA_005_001",0.3635272,"Bone Mineral Content (excluding skull)","3h365tlg14p0s05"
"MGI:1890257","Tas2r103","C57BL","Early adult","GMC_916_001_022",0.581841,"Body weight","3h4jpaji877zr80"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","IMPC_EYE_057_001",0.833697,"Min right eye lens density","3h4k1zv66u12757"
"MGI:1098240","Kif16b","C57BL","Early adult","GMC_905_001_003",0.6576776,"Platelet","3h552555f16i991"
"MGI:1315201","Grcc10","C57BL","Early adult","JAX_LDT_001_001",0.6219239,"Side changes","3h5i5k073323d89"
"MGI:2681846","Mpv17l2","C57BL","Early adult","GMC_906_001_006",0.4870586,"Chloride","3h5z9mn0k213z53"
"MGI:88357","Cdk4","C57BL","Early adult","JAXLA_DXA_009_001",0.5924826,"Fat/Body weight","3h6c8q502ed061r"
"MGI:2445160","Kcnh8","C57BL","Late adult","GMC_906_001_001",0.8881933,"Glucose","3h743u1w45qd50o"
"MGI:1913915","Msantd3","C57BL","Early adult","GMC_916_001_018",0.4068884,"Rearings box","3h79enp4pq54ju0"
"MGI:1921004","Thap1","C57BL","E9.5","IMPC_CBC_003_001",0.6344353,"Chloride","3h7m5a1v6125230"
"MGI:2445160","Kcnh8","C57BL","Late adult","CCP_XRY_031_001",0.8777128,"Digit integrity","3h86fg3i823uz28"
"MGI:2176740","Helq","C57BL","Early adult","IMPC_CBC_009_001",0.5465036,"Calcium","3h8784z6o5195jy"
"MGI:2384982","Cdca7l","C57BL","Late adult","IMPC_HEM_040_001",0.2578551,"Large Unstained Cell (LUC) differential count","3h8n1h91k17d3t1"
"MGI:2442221","Zfp652","C57BL","Early adult","IMPC_HEM_029_001",0.4095996,"Neutrophil differential count","3h92697hga1b3b2"
"MGI:2443086","Mindy2","C57BL","late adult","IMPC_ABR_004_001",0.8457025,"6kHz-evoked ABR Threshold","3h93v9lz9d535b7"
"MGI:1916340","Ascc1","C57BL","E18.5","IMPC_EYE_064_001",0.4324269,"Right outer nuclear layer","3hahpg0818rn745"
"MGI:2686600","Zfp174","C57BL","Late adult","JAXLA_CSD_039_001",0.8380876,"Limb grasp","3hc9o5t163fu991"
"MGI:2685097","Lrrc37a","C57BL","Early adult","IMPC_CSD_010_001",0.9237499,"Coat - color pattern - abdomen","3hcbcvzmq544i72"
"MGI:2139134","Cercam","C57BL","Early adult","JAXLA_DXA_008_001",0.9990989,"Lean/Body weight","3hg18gah666630s"
"MGI:3646964","Fscb","C57BL","Early adult","IMPC_CBC_004_001",0.1176863,"Urea (Blood Urea Nitrogen - BUN)","3hgp04va4np711o"
"MGI:892866","Dgcr2","C57BL","Early adult","IMPC_HEM_019_001",0.9597346,"Mean platelet volume","3hhn1b5o94pys9g"
"MGI:1859866","Cdc20","C57BL","E9.5","IMPC_EYE_007_001",0.5548797,"Cornea","3hn7z01t1ypv914"
"MGI:2137624","Pom121","C57BL","E9.5","IMPC_CBC_006_001",0.4409066,"Total protein","3hy19u0aip38wv4"
"MGI:2445160","Kcnh8","C57BL","Late adult","GMC_905_001_003",0.4805302,"Platelet","3i07539n85rnmev"
"MGI:892866","Dgcr2","C57BL","Early adult","IMPC_GRS_009_001",0.4197511,"Forelimb and hindlimb grip strength measurement mean","3i0d7o0g6453444"
"MGI:2685018","Ccdc110","C57BL","Early adult","JAXLA_OFD_013_001",0.9724465,"Periphery average speed","3i1uvd90il79943"
"MGI:2384919","Rxylt1","C57BL","Late adult","GMC_906_001_018",0.7030804,"Triglyceride","3i27by7og7o9a0i"
"MGI:1921004","Thap1","C57BL","E12.5","JAX_OFD_009_001",0.605365,"Whole arena average speed","3i2zt2a985b36xr"
"MGI:1916340","Ascc1","C57BL","E18.5","IMPC_CSD_078_001",0.1766389,"Vocalization","3i3ea4557vq2loy"
"MGI:2180565","Pnma3","C57BL","Middle aged adult","JAXLA_CSD_012_001",0.6501468,"Coat - hair distribution - head","3i3vgatdk288224"
"MGI:88357","Cdk4","C57BL","E12.5","IMPC_EYE_007_001",0.5631345,"Cornea","3i4483mf2382jih"
"MGI:2384919","Rxylt1","C57BL","Early adult","IMPC_ABR_012_001",0.8220298,"30kHz-evoked ABR Threshold","3i54vmzx7hefgn7"
"MGI:2442221","Zfp652","C57BL","Early adult","IMPC_GRS_010_001",0.89402,"Forelimb grip strength normalised against body weight","3i6fdwcgi0s1i4k"
"MGI:1860383","Cd160","C57BL","Early adult","IMPC_DXA_007_001",0.05022609,"BMC/Body weight","3i708o82g7cwkjj"
"MGI:3643383","Calhm1","C57BL","Early adult","IMPC_OFD_020_001",0.6163411,"Distance travelled - total","3i7372p7g09h07n"
"MGI:1201378","Anxa3","C57BL","Early adult","IMPC_HEM_039_001",0.1479407,"Large Unstained Cell (LUC) count","3i803751s17vo2c"
"MGI:1919891","Mob2","C57BL","Early adult","JAXLA_OFD_021_001",0.8406643,"Number of rears - total","3iesht9tlajtqh4"
"MGI:1915987","Angel1","C57BL","Early adult","JAXLA_CSD_012_001",0.897752,"Coat - hair distribution - head","3imb69f1gta5617"
"MGI:1921004","Thap1","C57BL","Early adult","IMPC_CBC_001_001",0.7563804,"Sodium","3in7l3n99ilap36"
"MGI:1916319","Tmem273","C57BL","Early adult","IMPC_DXA_006_001",0.3949932,"Body length","3io70znfnl908pv"
"MGI:95321","Emb",NA,"Early adult","IMPC_OFD_021_001",0.1584395,"Number of rears - total","3iu14r8e693a92h"
"MGI:5546359","Xndc1","C57BL","Early adult","IMPC_GRS_011_001",0.8699966,"Forelimb and hindlimb grip strength normalised against body weight","3ivf6u3f65i171p"
"MGI:1915485","Mturn","C57BL",NA,"CCP_LDT_001_001",0.5720122,"Side changes","3iwildlv9ii1ixc"
"MGI:2384974","Flvcr2","C57BL","Early adult","GMC_923_001_001",0.1183354,"Body weight","3iz9026jykwe94g"
"MGI:2443219","Tmem260","C57BL","Early adult","IMPC_CBC_020_001",0.6603182,"Fructosamine","3j00s58s402j6v8"
"MGI:2442221","Zfp652","C57BL","E18.5","IMPC_CBC_012_001",0.8023669,"Aspartate aminotransferase","3j03991k2k9b295"
"MGI:2141101","Depdc5","C57BL","Early adult","IMPC_CAL_017_001",0.8352172,"Respiratory Exchange Ratio","3j3sn8nq8s589e3"
"MGI:2385852","Tifab","C57BL","Early adult","JAX_LDT_001_001",0.35089,"Side changes","3j3w5phlg5x8ft1"
"MGI:2685018","Ccdc110","C57BL","Early adult","ESLIM_007_001_005",0.1989145,"Whole arena average speed","3j470fv611428z1"
"MGI:2384982","Cdca7l","C57BL","Early adult","JAX_LDT_001_001",0.2625127,"Side changes","3j5c8fa84831367"
"MGI:1920393","Wdr37","C57BL","Early adult","IMPC_CSD_078_001",0.297639,"Vocalization","3j6zz97f460hcre"
"MGI:2384919","Rxylt1","C57BL","Late adult","IMPC_HEM_030_001",0.3659383,"Neutrophil cell count","3j7q5vj0c0n1evp"
"MGI:2384919","Rxylt1","C57BL","Late adult","IMPC_EYE_063_001",0.8752593,"Right inner nuclear layer","3j80c5k3p6z256r"
"MGI:1859866","Cdc20","C57BL","Early adult","JAXLA_DXA_005_001",0.05033641,"Bone Mineral Content (excluding skull)","3j8u09zow36x2o5"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","IMPC_XRY_017_001",0.6508749,"Number of caudal vertebrae","3j9o2dlj46r575x"
"MGI:1328358","Myom2","C57BL","Early adult","GMC_920_001_004",0.6957784,"TV-active","3j9t2yb00rom447"
"MGI:1923061","Saxo1","C57BL","Early adult","GMC_906_001_018",0.5215089,"Triglyceride","3jas53e5ql58fee"
"MGI:96669","Kcnc3","C57BL","Early adult","IMPC_HEM_029_001",0.1205562,"Neutrophil differential count","3jciin08w3vl168"
"MGI:1347061","Abcg2","C57BL","Early adult","GMC_906_001_017",0.8462687,"Total cholesterol","3jhl12jc93w1l78"
