parameter_name,parameter_description,parameter_id
Left anterior chamber depth,NA,IMPC_EYE_067_001
Left total retinal thickness,NA,IMPC_EYE_068_001
Left inner nuclear layer,NA,IMPC_EYE_069_001
Left outer nuclear layer,NA,IMPC_EYE_070_001
Left posterior chamber depth,NA,IMPC_EYE_071_001
B-scan of right retina,NA,IMPC_EYE_072_001
B-scan of left retina,NA,IMPC_EYE_073_001
VIP of right fundus,NA,IMPC_EYE_074_001
VIP of left fundus,NA,IMPC_EYE_075_001
B-scan of right cornea and lens,NA,IMPC_EYE_076_001
B-scan of left cornea and lens,NA,IMPC_EYE_077_001
VIP of right eye,NA,IMPC_EYE_078_001
VIP of left eye,NA,IMPC_EYE_079_001
Corneal Sclerization,NA,IMPC_EYE_080_001
Corneal deposits,NA,IMPC_EYE_081_001
Iris transilumination,NA,IMPC_EYE_082_001
Vitreous,NA,IMPC_EYE_083_001
Corneal mineralization,NA,IMPC_EYE_084_001
Corneal ulcer,NA,IMPC_EYE_085_001
Lacrimation,NA,IMPC_EYE_086_001
Right vitreous humor thickness,NA,IMPC_EYE_087_001
Left vitreous humour thickness,NA,IMPC_EYE_088_001
Ophthalmoscope Lens Model,NA,IMPC_EYE_089_001
Right eye diameter,NA,IMPC_EYE_090_001
Left eye diameter,NA,IMPC_EYE_091_001
Retina (combined),NA,IMPC_EYE_092_001
Tail - presence,tail_presence,IMPC_CSD_001_001
Tail - length,tail_length,IMPC_CSD_002_001
Tail - thickness,tail_thickness,IMPC_CSD_003_001
Tail - morphology,tail_morphology,IMPC_CSD_004_001
Coat - color - back,coat_color_back,IMPC_CSD_005_001
Coat - color - head,coat_color_head,IMPC_CSD_006_001
Coat - color - abdomen,coat_color_abdomen,IMPC_CSD_007_001
Coat - color pattern - back,coat_color_pattern_back,IMPC_CSD_008_001
Coat - color pattern - head,coat_color_pattern_head,IMPC_CSD_009_001
Coat - color pattern - abdomen,coat_color_pattern_abdomen,IMPC_CSD_010_001
Coat - hair distribution - back,coat_hair_distribution_back,IMPC_CSD_011_001
Coat - hair distribution - head,coat_hair_distribution_head,IMPC_CSD_012_001
Coat - hair distribution - abdomen,coat_hair_distribution_abdomen,IMPC_CSD_013_001
Coat - hair texture / appearance - back,coat_hair_texture_appearance_back,IMPC_CSD_014_001
Coat - hair texture / appearance - head,coat_hair_texture_appearance_head,IMPC_CSD_015_001
Coat - hair texture / appearance - abdomen,coat_hair_texture_appearance_abdomen,IMPC_CSD_016_001
Forelimbs - position,forelimbs_position,IMPC_CSD_017_001
Forelimbs - shape,forelimbs_shape,IMPC_CSD_018_001
Forelimbs - size,forelimbs_size,IMPC_CSD_019_001
Hindlimbs - position,hindlimbs_position,IMPC_CSD_020_001
Hindlimbs - shape,hindlimbs_shape,IMPC_CSD_021_001
Hindlimbs - size,hindlimbs_size,IMPC_CSD_022_001
Vibrissae - presence,vibrissae_presence,IMPC_CSD_023_001
Vibrissae - appearance,vibrissae_appearance,IMPC_CSD_024_001
Head size,head_size,IMPC_CSD_025_001
Head morphology,head_morphology,IMPC_CSD_026_001
Ears,ears,IMPC_CSD_027_001
Snout size,snout_size,IMPC_CSD_028_001
Activity (body position),activity_body_position_,IMPC_CSD_029_001
Tremor,tremor,IMPC_CSD_030_001
Transfer arousal,transfer_arousal,IMPC_CSD_031_001
Locomotor activity,locomotor_activity,IMPC_CSD_032_001
Gait,gait,IMPC_CSD_033_001
Tail elevation,tail_elevation,IMPC_CSD_034_001
Startle response,startle_response,IMPC_CSD_036_001
Unexpected behaviors,unexpected_behaviors,IMPC_CSD_037_001
Trunk curl,trunk_curl,IMPC_CSD_038_001
Limb grasp,limb_grasp,IMPC_CSD_039_001
Forelimb digit - size,forelimb_digit_size,IMPC_CSD_046_001
Hindlimb digit - size,hindlimb_digit_size,IMPC_CSD_047_001
Skin color - whole body,skin_color_whole_body,IMPC_CSD_056_001
Skin color - snout,skin_color_snout,IMPC_CSD_057_001
Skin color - ear,skin_color_ear,IMPC_CSD_058_001
Skin color - front paws,skin_color_front_paws,IMPC_CSD_059_001
Skin color - back paws,skin_color_back_paws,IMPC_CSD_060_001
Skin color - tail,skin_color_tail,IMPC_CSD_061_001
Skin texture - whole body,skin_texture_whole_body,IMPC_CSD_062_001
Skin texture - snout,skin_texture_snout,IMPC_CSD_063_001
Skin texture - ear,skin_texture_ear,IMPC_CSD_064_001
Skin texture - front paws,skin_texture_front_paws,IMPC_CSD_065_001
Skin texture - back paws,skin_texture_back_paws,IMPC_CSD_066_001
Skin texture - tail,skin_texture_tail,IMPC_CSD_067_001
Teeth presence,teeth_presence,IMPC_CSD_068_001
Upper teeth appearance,upper_teeth_appearance,IMPC_CSD_069_001
Lower teeth appearance,lower_teeth_appearance,IMPC_CSD_070_001
Genitalia - presence,genitalia_presence,IMPC_CSD_071_001
Genitalia - size,genitalia_size,IMPC_CSD_072_001
Genitalia - morphology,genitalia_morphology,IMPC_CSD_073_001
Mouth morphology,mouth_morphology,IMPC_CSD_074_001
Upper lip morphology,upper_lip_morphology,IMPC_CSD_075_001
Lower lip morphology,lower_lip_morphology,IMPC_CSD_076_001
Contact righting,contact_righting,IMPC_CSD_077_001
Vocalization,vocalization,IMPC_CSD_078_001
Aggression,aggression,IMPC_CSD_079_001
Head bobbing,head_bobbing,IMPC_CSD_080_001
Experimenter ID,NA,IMPC_CSD_081_001
Location of test,location_of_test,IMPC_CSD_082_001
Number of animals in cage,number_of_animals,IMPC_CSD_083_001
Number of days since cage changed,NA,IMPC_CSD_084_001
Images,NA,IMPC_CSD_085_001
Size of squares in arena,NA,IMPC_CSD_086_001
Comments (in English),General comments in English,IMPC_CSD_087_001
Forepaw - size,forepaw_size,IMPC_CSD_040_002
Hindpaw - size,hindpaw_size,IMPC_CSD_041_002
Forepaw - shape,forepaw_shape,IMPC_CSD_042_002
Hindpaw - shape,hindpaw_shape,IMPC_CSD_043_002
Forelimb digit - number,forelimb_digit_number,IMPC_CSD_044_002
Hindlimb digit - number,hindlimb_digit_number,IMPC_CSD_045_002
Forelimb digit - shape,forelimb_digit_shape,IMPC_CSD_048_002
Hindlimb digit - shape,hindlimb_digit_shape,IMPC_CSD_049_002
Forelimb nail - number,forelimb_nail_number,IMPC_CSD_050_002
Hindlimb nail - number,hindlimb_nail_number,IMPC_CSD_051_002
Hindlimb nail - length,hindlimb_nail_length,IMPC_CSD_053_002
Forelimb nail - length,forelimb_nail_length,IMPC_CSD_052_002
Forelimb nail - shape,forelimb_nail_shape,IMPC_CSD_054_002
Hindlimb nail - shape,hindlimb_nail_shape,IMPC_CSD_055_002
Date of Test,date_of_test,IMPC_ABR_047_001
Pipeline ID(s),pipeline_ids_applicable_to_housing_conditions,IMPC_EXD_003_002
Phenotyping lifestage,phenotyping_lifestage,IMPC_EXD_132_001
Submission Identifier,NA,IMPC_EXD_133_001
Date effective from,date_effective_from,IMPC_EXD_004_002
Date effective until,date_effective_until,IMPC_EXD_005_002
Control design,control_design,IMPC_EXD_006_001
Control phenotyping design,frequency_of_controls,IMPC_EXD_007_001
Minimum number of male controls,number_male_controls,IMPC_EXD_008_001
Minimum number of female controls,number_female_controls,IMPC_EXD_009_001
Control animal production location,control_animal_source,IMPC_EXD_012_002
Core colony source,core_colony_source,IMPC_EXD_013_001
Control stock management,core_stock_strategy,IMPC_EXD_014_001
Time effect strategy,time_effects,IMPC_EXD_098_002
Blinding strategy,blinding_strategy,IMPC_EXD_127_001
Instrumentation bias management,instrumentation_bias_management,IMPC_EXD_128_001
Operator effect control strategy,operator_effect_control_strategy,IMPC_EXD_129_001
Order effect control strategy,order_effect_control_strategy,IMPC_EXD_130_001
Subject selection strategy,subject_selection_strategy,IMPC_EXD_131_001
Knockout animal production location,knockout_animal_production_location,IMPC_EXD_134_001
Maximum number of female controls,NA,IMPC_EXD_135_001
Maximum number of male controls,NA,IMPC_EXD_136_001
Knockout phenotyping design,knockout_phenotyping_design,IMPC_EXD_015_001
White blood cell count,white_blood_cell_count,IMPC_HEM_001_001
Red blood cell count,red_blood_cell_count,IMPC_HEM_002_001
Hemoglobin,hemoglobin,IMPC_HEM_003_001
Hematocrit,hematocrit,IMPC_HEM_004_001
Mean cell volume,mean_cell_volume,IMPC_HEM_005_001
Mean corpuscular hemoglobin,mean_corpuscular_hemoglobin,IMPC_HEM_006_001
Mean cell hemoglobin concentration,mean_cell_hemoglobin_concentration,IMPC_HEM_007_001
Platelet count,platelet_count,IMPC_HEM_008_001
Equipment ID,equipment_name,IMPC_HEM_009_001
Equipment manufacturer,equipment_manufacturer,IMPC_HEM_010_001
Equipment model,equipment_model,IMPC_HEM_011_001
Anesthesia used for blood collection,anesthesia_used_for_blood_collection,IMPC_HEM_012_001
Method of blood collection,method_of_blood_collection,IMPC_HEM_013_001
Anticoagulant,anticoagulant,IMPC_HEM_014_001
Samples kept on ice between collection and analysis,samples_kept_on_ice_between_collection_and_analysis_,IMPC_HEM_018_001
ID for blood collection SOP,id_for_blood_collection_sop,IMPC_HEM_020_001
Date and time of blood collection,date_and_time_of_blood_collection,IMPC_HEM_021_001
Chip card number,chip_card_number,IMPC_HEM_023_001
Blood collection experimenter ID,NA,IMPC_HEM_024_001
Date equipment last calibrated,NA,IMPC_HEM_025_001
Storage temperature from blood collection until measurement,NA,IMPC_HEM_026_001
Blood collection tubes,NA,IMPC_HEM_015_001
Date and time of sacrifice,NA,IMPC_HEM_016_001
Blood analysis experimenter ID,NA,IMPC_HEM_017_001
Mean platelet volume,NA,IMPC_HEM_019_001
Red blood cell distribution width,NA,IMPC_HEM_027_001
Fight wounds,NA,IMPC_HEM_028_001
Neutrophil differential count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_029_001
Neutrophil cell count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_030_001
Lymphocyte differential count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_031_001
Lymphocyte cell count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_032_001
Monocyte differential count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_033_001
Monocyte cell count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_034_001
Eosinophil differential count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_035_001
Eosinophil cell count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_036_001
Basophil cell count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_037_001
Basophil differential count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_038_001
Large Unstained Cell (LUC) count,A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.,IMPC_HEM_039_001
Large Unstained Cell (LUC) differential count,NA,IMPC_HEM_040_001
Sample clotted,NA,IMPC_HEM_041_001
Service-related calibration start date,Harwell-required metadata parameter (req analysis) due to ADVIA analyser causing shift in data.,IMPC_HEM_042_001
LIH (Hemolysis Severity - available on AU analysers),Copied from the same parameter in Clinical Blood Chemistry as the same blood samples are used for both procedures and the level of hemolysis has an effect on the results of hematology as well as CBC,IMPC_HEM_043_001
Submitter ID,submitter_id,IMPC_EXD_001_001
Name of phenotyping project,name_of_phenotyping_project,IMPC_EXD_002_001
Name of pipeline,name_of_pipeline,IMPC_EXD_003_001
Start date,start_date,IMPC_EXD_004_001
End date,end_date,IMPC_EXD_005_001
Frequency of controls,frequency_of_controls,IMPC_EXD_007_001
Number male controls,number_male_controls,IMPC_EXD_008_001
Number female controls,number_female_controls,IMPC_EXD_009_001
Genetic background,genetic_background,IMPC_EXD_010_001
Controls and knockout same source,controls_and_knockout_same_source,IMPC_EXD_011_001
Control animal production location,control_animal_source,IMPC_EXD_012_001
Core stock strategy,core_stock_strategy,IMPC_EXD_014_001
Knockout batch strategy,knockout_batch_strategy,IMPC_EXD_015_001
Blinding  - Body Weight,blinding_body_weight,IMPC_EXD_016_001
Blinding  - CSD,blinding_csd,IMPC_EXD_017_001
Blinding  - Grip strength,blinding_grip_strength,IMPC_EXD_018_001
Blinding  - Acoustic startle,blinding_acoustic_startle,IMPC_EXD_019_001
Blinding  - Calorimetry,blinding_calorimetry,IMPC_EXD_020_001
Blinding  - IPGTT,blinding_ipgtt,IMPC_EXD_021_001
Blinding  - ABR collection,blinding_abr_collection,IMPC_EXD_022_001
Blinding  - ABR annotation,blinding_abr_annotation,IMPC_EXD_023_001
Blinding  - DEXA,blinding_dexa,IMPC_EXD_024_001
Blinding  - X-ray imaging,blinding_x_ray_imaging,IMPC_EXD_025_001
Blinding  - X-ray annotation,blinding_x_ray_annotation,IMPC_EXD_026_001
Blinding  - Slit lamp collection,blinding_slit_lamp_collection,IMPC_EXD_027_001
Blinding  - Slit lamp annotation,blinding_slit_lamp_annotation,IMPC_EXD_028_001
Blinding  - Ophthalmoscope collection,blinding_ophthalmoscope_collection,IMPC_EXD_029_001
Blinding  - Ophthalmoscope annotation,blinding_ophthalmoscope_annotation,IMPC_EXD_030_001
Blinding  - Hematology,blinding_hematology,IMPC_EXD_031_001
Blinding  - Clinical chemistry,blinding_clinical_chemistry,IMPC_EXD_032_001
Blinding  - Insulin,blinding_insulin,IMPC_EXD_033_001
Blinding  - Immunophenotyping collection,blinding_immunophenotyping_collection,IMPC_EXD_034_001
Blinding  - Immunophenotyping annotation,blinding_immunophenotyping_annotation,IMPC_EXD_035_001
Blinding  - Heart weight,blinding_heart_weight,IMPC_EXD_036_001
Blinding  - Open field,blinding_open_field,IMPC_EXD_037_001
Blinding  - Gross pathology collection,blinding_gross_pathology_collection,IMPC_EXD_038_001
Blinding  - Gross pathology annotation,blinding_gross_pathology_annotation,IMPC_EXD_039_001
Blinding - ECG,blinding_ecg,IMPC_EXD_040_001
Blinding  - Echo,blinding_echo,IMPC_EXD_041_001
Blinding  - Plethysmography,blinding_plethysmography,IMPC_EXD_042_001
Blinding  - Adult Lac Z collection,blinding_adult_lac_z_collection,IMPC_EXD_043_001
Blinding  - Adult Lac Z annotation,blinding_adult_lac_z_annotation,IMPC_EXD_044_001
Blinding  - Embryo Lac Z collection,blinding_embryo_lac_z_collection,IMPC_EXD_045_001
Blinding  - Embryo Lac Z annotation,blinding_embryo_lac_z_annotation,IMPC_EXD_046_001
Instrumentation effects - Body weight,instrumentation_effects_body_weight,IMPC_EXD_047_001
Instrumentation effects - Heart weight,instrumentation_effects_heart_weight,IMPC_EXD_048_001
Instrumentation effects - Grip strength,instrumentation_effects_grip_strength,IMPC_EXD_049_001
Instrumentation effects - Acoustic startle,instrumentation_effects_acoustic_startle,IMPC_EXD_050_001
Instrumentation effects - Calorimetry,instrumentation_effects_calorimetry,IMPC_EXD_051_001
Instrumentation effects - IPGTT,instrumentation_effects_ipgtt,IMPC_EXD_052_001
Instrumentation effects - ABR,instrumentation_effects_abr,IMPC_EXD_053_001
Instrumentation effects - DEXA,instrumentation_effects_dexa,IMPC_EXD_054_001
Instrumentation effects - Slit lamp,instrumentation_effects_slit_lamp,IMPC_EXD_055_001
Instrumentation effects - Ophthalmoscope,instrumentation_effects_ophthalmoscope,IMPC_EXD_056_001
Instrumentation effects - Hematology,instrumentation_effects_hematology,IMPC_EXD_057_001
Instrumentation effects - Clinical chemistry,instrumentation_effects_clinical_chemistry,IMPC_EXD_058_001
Instrumentation effects - Immunophenotyping,instrumentation_effects_immunophenotyping,IMPC_EXD_059_001
Instrumentation effects - Open field,instrumentation_effects_open_field,IMPC_EXD_060_001
Instrumentation effects - ECG,instrumentation_effects_ecg,IMPC_EXD_061_001
Instrumentation effects - Echo,instrumentation_effects_echo,IMPC_EXD_062_001
Instrumentation effects - Plethysmography,instrumentation_effects_plethysmography,IMPC_EXD_063_001
Instrumentation effects - Gross pathology,instrumentation_effects_gross_pathology,IMPC_EXD_064_001
Instrumentation effects - Insulin,instrumentation_effects_insulin,IMPC_EXD_065_001
Instrumentation effects - Embryo Lac Z,instrumentation_effects_embryo_lac_z,IMPC_EXD_066_001
Instrumentation effects - Adult Lac Z,instrumentation_effects_adult_lac_z,IMPC_EXD_067_001
Instrumentation effects - X-ray,instrumentation_effects_x_ray,IMPC_EXD_068_001
Operator effects - Body weight,operator_effects_body_weight,IMPC_EXD_069_001
Operator effects - Open field,operator_effects_open_field,IMPC_EXD_070_001
Operator effects - CSD,operator_effects_csd,IMPC_EXD_071_001
Operator effects - Grip strength,operator_effects_grip_strength,IMPC_EXD_072_001
Operator effects - Acoustic startle,operator_effects_acoustic_startle,IMPC_EXD_073_001
Operator effects - Calorimetry,operator_effects_calorimetry,IMPC_EXD_074_001
Operator effects - IPGTT,operator_effects_ipgtt,IMPC_EXD_075_001
Operator effects - ABR collection,operator_effects_abr_collection,IMPC_EXD_076_001
Operator effects - ABR annotation,operator_effects_abr_annotation,IMPC_EXD_077_001
Operator effects - DEXA,operator_effects_dexa,IMPC_EXD_078_001
Operator effects - X-ray imaging,operator_effects_x_ray_imaging,IMPC_EXD_079_001
Operator effects - X-ray annotation,operator_effects_x_ray_annotation,IMPC_EXD_080_001
Operator effects - Slit lamp,operator_effects_slit_lamp,IMPC_EXD_081_001
Operator effects - Ophthalmoscope,operator_effects_ophthalmoscope,IMPC_EXD_082_001
Operator effects - Hematology,operator_effects_hematology,IMPC_EXD_083_001
Operator effects - Clinical chemistry,operator_effects_clinical_chemistry,IMPC_EXD_084_001
Operator effects - Immunophenotyping collection,operator_effects_immunophenotyping_collection,IMPC_EXD_085_001
Operator effects - Immunophenotyping analysis,operator_effects_immunophenotyping_analysis,IMPC_EXD_086_001
Operator effects - Heart weight,operator_effects_heart_weight,IMPC_EXD_087_001
Operator effects - Gross pathology collection,operator_effects_gross_pathology_collection,IMPC_EXD_088_001
Operator effects - Gross pathology annotation,operator_effects_gross_pathology_annotation,IMPC_EXD_089_001
Operator effects - ECG,operator_effects_ecg,IMPC_EXD_090_001
Operator effects - Echo,operator_effects_echo,IMPC_EXD_091_001
Operator effects - Plethysmography,operator_effects_plethysmography,IMPC_EXD_092_001
Operator effects - Insulin,operator_effects_insulin,IMPC_EXD_093_001
Operator effects - Embryo Lac Z collection,operator_effects_embryo_lac_z_collection,IMPC_EXD_094_001
Operator effects - Embryo Lac Z annotation,operator_effects_embryo_lac_z_annotation,IMPC_EXD_095_001
Operator effects - Adult Lac Z collection,operator_effects_adult_lac_z_collection,IMPC_EXD_096_001
Operator effects - Adult Lac Z annotation,operator_effects_adult_lac_z_annotation,IMPC_EXD_097_001
Time effects,time_effects,IMPC_EXD_098_001
Order effects - Body weight,order_effects_body_weight,IMPC_EXD_099_001
Order effects - CSD,order_effects_csd,IMPC_EXD_100_001
Order effects - Grip strength,order_effects_grip_strength,IMPC_EXD_101_001
Order effects - Acoustic startle,order_effects_acoustic_startle,IMPC_EXD_102_001
Order effects - Calorimetry,order_effects_calorimetry,IMPC_EXD_103_001
Order effects - IPGTT,order_effects_ipgtt,IMPC_EXD_104_001
Order effects - ABR collection,order_effects_abr_collection,IMPC_EXD_105_001
Order effects - ABR annotation,order_effects_abr_annotation,IMPC_EXD_106_001
Order effects - DEXA,order_effects_dexa,IMPC_EXD_107_001
Order effects - X-ray imaging,order_effects_x_ray_imaging,IMPC_EXD_108_001
Order effects - X-ray annotation,order_effects_x_ray_annotation,IMPC_EXD_109_001
Order effects - Slit lamp,order_effects_slit_lamp,IMPC_EXD_110_001
Order effects - Ophthalmoscope,order_effects_ophthalmoscope,IMPC_EXD_111_001
Order effects - Hematology,order_effects_hematology,IMPC_EXD_112_001
Order effects - Clinical chemistry,order_effects_clinical_chemistry,IMPC_EXD_113_001
Order effects - Immunophenotyping,order_effects_immunophenotyping,IMPC_EXD_114_001
Order effects - Heart weight,order_effects_heart_weight,IMPC_EXD_115_001
Order effects - Open field,order_effects_open_field,IMPC_EXD_116_001
Order effects - Gross pathology collection,order_effects_gross_pathology_collection,IMPC_EXD_117_001
Order effects - Gross pathology annotation,order_effects_gross_pathology_annotation,IMPC_EXD_118_001
Order effects - ECG,order_effects_ecg,IMPC_EXD_119_001
Order effects - Echo,order_effects_echo,IMPC_EXD_120_001
Order effects - Plethysmography,order_effects_plethysmography,IMPC_EXD_121_001
Order effects - Insulin,order_effects_insulin,IMPC_EXD_122_001
Order effects - Embryo Lac Z,order_effects_embryo_lac_z,IMPC_EXD_123_001
Order effects - Adult Lac Z,order_effects_adult_lac_z,IMPC_EXD_124_001
Subject selection - ABR,subject_selection_abr,IMPC_EXD_125_001
Subject selection - Gross pathology,subject_selection_gross_pathology,IMPC_EXD_126_001
Gene category,Type of gene inheritance pattern,IMPC_VIA_034_001
Male parents genotype,Genotype of male parent(s),IMPC_VIA_035_001
Female parents genotype,Genotype of female parent(s),IMPC_VIA_036_001
Litter male parent specimen id,ID of male parent of litter,IMPC_VIA_037_001
Litter female parent 1 specimen id,ID of female parent,IMPC_VIA_038_001
Litter female parent 2 specimen id,ID of optional second female parent for trio matings,IMPC_VIA_039_001
Litter date of birth,Date of birth of litter,IMPC_VIA_040_001
Number of WT males,Number of wild-type males in litter or total wild-type males if litter data is not available,IMPC_VIA_041_001
Number of WT females,Number of wild-type females in litter or total wild-type females if litter data is not available,IMPC_VIA_042_001
Number of heterozygous males,Number of heterozygous males in litter or total heterozygous males if litter data is not available,IMPC_VIA_043_001
Number of heterozygous females,Number of heterozygous females in litter or total heterozygous females if litter data is not available,IMPC_VIA_044_001
Number of homozygous males,Number of homozygous males in litter or total homozygous males if litter data is not available,IMPC_VIA_045_001
Number of homozygous females,Number of homozygous females in litter or total homozygousfe males if litter data is not available,IMPC_VIA_046_001
Number of hemizygous males,Number of hemizygous males in litter or total hemizygous males if litter data is not available,IMPC_VIA_047_001
Number of anzygous females,Number of anzygous (i.e. no copies of gene as it is Y-chromosome) females in litter or total anzygous females if litter data is not available,IMPC_VIA_048_001
Total WT males,Total wild-type males,IMPC_VIA_049_001
Total WT females,Total wild-type females,IMPC_VIA_050_001
Total heterozygous males,Total heterozygous males,IMPC_VIA_051_001
Total heterozygous females,Total heterozygous females,IMPC_VIA_052_001
Total homozygous males,Total homozygous males,IMPC_VIA_053_001
Total homozygous females,Total homozygous males,IMPC_VIA_054_001
Total of hemizygous males,Total hemizygous males,IMPC_VIA_055_001
Total anzygous females,Total anzygous (i.e. no copies of gene as it is Y-chromosome) females,IMPC_VIA_056_001
Total pups,Total pups,IMPC_VIA_057_001
Total WTs,Total wild-type pups,IMPC_VIA_058_001
Total heterozygotes,Total heterozygous pups,IMPC_VIA_059_001
Total homozygotes,Total homozygous pups,IMPC_VIA_060_001
Total males,Total male pups,IMPC_VIA_061_001
Total females,Total female pups,IMPC_VIA_062_001
Female age earliest start,NA,IMPC_VIA_026_001
Female age oldest end,NA,IMPC_VIA_027_001
Age of pups at genotype,NA,IMPC_VIA_030_001
Homozygous males viability,Outcome of viability assessment for homozygous males,IMPC_VIA_063_001
Homozygous females viability,Outcome of viability assessment for homozygous females,IMPC_VIA_064_001
Hemizygous males viability,Outcome of viability assessment for hemizygous males,IMPC_VIA_065_001
Heterozygous animals viability,Outcome of viability assessment for heterozygous animals,IMPC_VIA_066_001
Homozygous animals viability,Outcome of viability assessment for homozygous animals,IMPC_VIA_067_001
Embryo Vignette,Poster style vignette to highlight the embryo development for a line,IMPC_VIA_068_001
Body weight,body_weight,IMPC_DXA_001_001
Fat mass,fat_mass,IMPC_DXA_002_001
Lean mass,lean_mass,IMPC_DXA_003_001
Bone Mineral Density (excluding skull),bone_mineral_density_excluding_skull_,IMPC_DXA_004_001
Bone Mineral Content (excluding skull),bone_mineral_content_excluding_skull_,IMPC_DXA_005_001
Body length,body_length,IMPC_DXA_006_001
BMC/Body weight,bmc_body_weight,IMPC_DXA_007_001
Lean/Body weight,lean_body_weight,IMPC_DXA_008_001
Fat/Body weight,fat_body_weight,IMPC_DXA_009_001
Bone Area,bone_area_bmc_bmd_,IMPC_DXA_010_001
Equipment ID,equipment_name,IMPC_DXA_011_001
Equipment manufacturer,equipment_manufactuer,IMPC_DXA_012_001
Equipment model,equipment_model,IMPC_DXA_013_001
Mouse Status,mouse_status,IMPC_DXA_014_001
Anesthesia,anesthesia,IMPC_DXA_015_001
Experimenter ID,NA,IMPC_DXA_016_001
Date equipment last calibrated,NA,IMPC_DXA_017_001
HAW,NA,IMPC_DXA_018_001
Body weight,body_weight,IMPC_OWT_001_001
Spleen weight,spleen_weight,IMPC_OWT_002_001
Left kidney weight,left_kidney_weight,IMPC_OWT_003_001
Right kidney weight,right_kidney_weight,IMPC_OWT_004_001
Epididymis weight,epididymis_weight,IMPC_OWT_005_001
Seminal vesicle weight,seminal_vesicle_weight,IMPC_OWT_007_001
Spleen weight to body weight ratio,spleen_weight_to_body_weight_ratio,IMPC_OWT_008_001
Left kidney weight to body weight ratio,left_kidney_weight_to_body_weight_ratio,IMPC_OWT_009_001
Right kidney weight to body weight ratio,right_kidney_weight_to_body_weight_ratio,IMPC_OWT_010_001
Epididymis weight to body weight ratio,epididymis_weight_to_body_weight_ratio,IMPC_OWT_012_001
Seminal vesicle weight to body weight ratio,seminal_vesicle_weight_to_body_weight_ratio,IMPC_OWT_013_001
Experimenter ID,experimenter_id,IMPC_OWT_014_001
Date of sacrifice,date_of_sacrifice,IMPC_OWT_015_001
Method of sacrifice,method_of_sacrifice,IMPC_OWT_016_001
Equipment ID,equipment_id,IMPC_OWT_017_001
Date equipment last calibrated,date_equipment_last_calibrated,IMPC_OWT_018_001
Equipment manufacturer,equipment_manufacturer,IMPC_OWT_019_001
Equipment model,equipment_model,IMPC_OWT_020_001
Left testis weight,left_testis_weight,IMPC_OWT_021_001
Right testis weight,right_testis_weight,IMPC_OWT_022_001
Whole liver weight,whole_liver_weight,IMPC_OWT_023_001
Right lung all lobes weight,right_lung_all_lobes_weight,IMPC_OWT_024_001
Left lung weight,left_lung_weight,IMPC_OWT_025_001
Left testis weight to body weight ratio,left_testis_weight_to_body_weight_ratio,IMPC_OWT_026_001
Right testis weight to body weight ratio,right_testis_weight_to_body_weight_ratio,IMPC_OWT_027_001
Whole liver weight to body weight ratio,whole_liver_weight_to_body_weight_ratio,IMPC_OWT_028_001
Right lung all lobes weight to body weight ratio,right_lung_all_lobes_weight_to_body_weight_ratio,IMPC_OWT_029_001
Left lung weight to body weight ratio,left_lung_weight_to_body_weight_ratio,IMPC_OWT_030_001
Whole lung weight,whole_lung_weight,IMPC_OWT_031_001
Skull shape,skull_shape,IMPC_XRY_001_001
